iteration,score,best_score,elapsed_sec,params_json
1,-0.6078813217582015,-0.6078813217582015,324.8939,"{""activation"": ""selu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.236052338777, ""learning_rate"": 0.00075111866, ""new_fc_1"": 4, ""new_fc_10"": 9, ""new_fc_2"": 7, ""new_fc_3"": 0, ""new_fc_4"": 11, ""new_fc_5"": 6, ""new_fc_6"": 19, ""new_fc_7"": 5, ""new_fc_8"": 24, ""new_fc_9"": 0, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 7}"
2,-0.6146676796770782,-0.6146676796770782,829.1013,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.092589639507, ""learning_rate"": 0.000571071323, ""new_fc_1"": 7, ""new_fc_10"": 3, ""new_fc_2"": 23, ""new_fc_3"": 10, ""new_fc_4"": 0, ""new_fc_5"": 7, ""new_fc_6"": 23, ""new_fc_7"": 28, ""new_fc_8"": 32, ""new_fc_9"": 21, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 7}"
3,-0.33753882459247014,-0.6146676796770782,1273.5636,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.462866963862, ""learning_rate"": 0.000490007948, ""new_fc_1"": 18, ""new_fc_10"": 3, ""new_fc_2"": 21, ""new_fc_3"": 3, ""new_fc_4"": 11, ""new_fc_5"": 16, ""new_fc_6"": 12, ""new_fc_7"": 29, ""new_fc_8"": 9, ""new_fc_9"": 12, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 4}"
4,10000000000.0,-0.6146676796770782,1274.0199,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.350969511556, ""learning_rate"": 0.000147815822, ""new_fc_1"": 3, ""new_fc_10"": 27, ""new_fc_2"": 29, ""new_fc_3"": 12, ""new_fc_4"": 12, ""new_fc_5"": 15, ""new_fc_6"": 29, ""new_fc_7"": 8, ""new_fc_8"": 6, ""new_fc_9"": 21, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 5}"
5,-0.2892619450430813,-0.6146676796770782,1658.9027,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.171196885029, ""learning_rate"": 0.00024895126, ""new_fc_1"": 29, ""new_fc_10"": 4, ""new_fc_2"": 17, ""new_fc_3"": 5, ""new_fc_4"": 15, ""new_fc_5"": 12, ""new_fc_6"": 28, ""new_fc_7"": 9, ""new_fc_8"": 23, ""new_fc_9"": 21, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 8}"
6,10000000000.0,-0.6146676796770782,1659.3987,"{""activation"": ""selu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.197823195326, ""learning_rate"": 0.000831546595, ""new_fc_1"": 7, ""new_fc_10"": 23, ""new_fc_2"": 21, ""new_fc_3"": 15, ""new_fc_4"": 18, ""new_fc_5"": 28, ""new_fc_6"": 16, ""new_fc_7"": 5, ""new_fc_8"": 13, ""new_fc_9"": 32, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
7,-0.48319204642034147,-0.6146676796770782,3904.0292,"{""activation"": ""elu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.285807771088, ""learning_rate"": 0.000476574932, ""new_fc_1"": 21, ""new_fc_10"": 0, ""new_fc_2"": 1, ""new_fc_3"": 31, ""new_fc_4"": 14, ""new_fc_5"": 16, ""new_fc_6"": 25, ""new_fc_7"": 21, ""new_fc_8"": 19, ""new_fc_9"": 18, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 1}"
8,-0.4359064697970123,-0.6146676796770782,5368.3612,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.214048860741, ""learning_rate"": 0.000950099436, ""new_fc_1"": 15, ""new_fc_10"": 32, ""new_fc_2"": 0, ""new_fc_3"": 18, ""new_fc_4"": 0, ""new_fc_5"": 9, ""new_fc_6"": 5, ""new_fc_7"": 21, ""new_fc_8"": 16, ""new_fc_9"": 11, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
9,10000000000.0,-0.6146676796770782,5369.7656,"{""activation"": ""swish"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.034972556261, ""learning_rate"": 0.000847576293, ""new_fc_1"": 13, ""new_fc_10"": 4, ""new_fc_2"": 19, ""new_fc_3"": 13, ""new_fc_4"": 24, ""new_fc_5"": 3, ""new_fc_6"": 7, ""new_fc_7"": 32, ""new_fc_8"": 11, ""new_fc_9"": 27, ""num_neurons"": 64, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 5}"
10,-0.5432801683004074,-0.6146676796770782,5933.5362,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.277565479985, ""learning_rate"": 0.00027864195, ""new_fc_1"": 30, ""new_fc_10"": 18, ""new_fc_2"": 15, ""new_fc_3"": 22, ""new_fc_4"": 12, ""new_fc_5"": 4, ""new_fc_6"": 20, ""new_fc_7"": 18, ""new_fc_8"": 21, ""new_fc_9"": 22, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 4}"
11,10000000000.0,-0.6146676796770782,5937.7324,"{""activation"": ""swish"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.492171840071, ""learning_rate"": 0.000906239199, ""new_fc_1"": 24, ""new_fc_10"": 30, ""new_fc_2"": 30, ""new_fc_3"": 23, ""new_fc_4"": 23, ""new_fc_5"": 13, ""new_fc_6"": 17, ""new_fc_7"": 15, ""new_fc_8"": 31, ""new_fc_9"": 14, ""num_neurons"": 16, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 7}"
12,-0.3942809513491173,-0.6146676796770782,6204.918,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.432258084075, ""learning_rate"": 0.000311652672, ""new_fc_1"": 30, ""new_fc_10"": 0, ""new_fc_2"": 18, ""new_fc_3"": 14, ""new_fc_4"": 23, ""new_fc_5"": 17, ""new_fc_6"": 29, ""new_fc_7"": 0, ""new_fc_8"": 14, ""new_fc_9"": 31, ""num_neurons"": 8, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 7}"
13,-0.5214944219530411,-0.6146676796770782,6592.2987,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.196660056436, ""learning_rate"": 0.00010518809, ""new_fc_1"": 13, ""new_fc_10"": 14, ""new_fc_2"": 19, ""new_fc_3"": 15, ""new_fc_4"": 19, ""new_fc_5"": 31, ""new_fc_6"": 24, ""new_fc_7"": 28, ""new_fc_8"": 28, ""new_fc_9"": 32, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 2}"
14,-0.5212075571294402,-0.6146676796770782,6919.9351,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.228153872927, ""learning_rate"": 0.000603901257, ""new_fc_1"": 28, ""new_fc_10"": 23, ""new_fc_2"": 1, ""new_fc_3"": 11, ""new_fc_4"": 21, ""new_fc_5"": 32, ""new_fc_6"": 8, ""new_fc_7"": 0, ""new_fc_8"": 32, ""new_fc_9"": 6, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 2}"
15,-0.40649917554938886,-0.6146676796770782,7307.151,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.334497531978, ""learning_rate"": 0.000258101244, ""new_fc_1"": 4, ""new_fc_10"": 10, ""new_fc_2"": 3, ""new_fc_3"": 17, ""new_fc_4"": 19, ""new_fc_5"": 21, ""new_fc_6"": 27, ""new_fc_7"": 3, ""new_fc_8"": 22, ""new_fc_9"": 12, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 6}"
16,-0.40448590922957606,-0.6146676796770782,7994.7019,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.305370624679, ""learning_rate"": 0.0003025121, ""new_fc_1"": 15, ""new_fc_10"": 29, ""new_fc_2"": 4, ""new_fc_3"": 1, ""new_fc_4"": 31, ""new_fc_5"": 9, ""new_fc_6"": 22, ""new_fc_7"": 29, ""new_fc_8"": 7, ""new_fc_9"": 1, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 5}"
17,-0.5831634813576583,-0.6146676796770782,8381.9793,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": false, ""dr_f"": 0.172871222566, ""learning_rate"": 0.000420746116, ""new_fc_1"": 13, ""new_fc_10"": 6, ""new_fc_2"": 6, ""new_fc_3"": 0, ""new_fc_4"": 2, ""new_fc_5"": 15, ""new_fc_6"": 12, ""new_fc_7"": 31, ""new_fc_8"": 16, ""new_fc_9"": 18, ""num_neurons"": 4, ""optimizer"": ""Adagrad"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 7}"
18,-0.6215060626539917,-0.6215060626539917,8949.2039,"{""activation"": ""elu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.321592741757, ""learning_rate"": 0.000277381403, ""new_fc_1"": 22, ""new_fc_10"": 6, ""new_fc_2"": 5, ""new_fc_3"": 12, ""new_fc_4"": 0, ""new_fc_5"": 13, ""new_fc_6"": 18, ""new_fc_7"": 26, ""new_fc_8"": 31, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 3}"
