event,accuracy_eval,objective,error,accuracy,flops_norm,flops,params,score,elapsed_sec,params_json
1,1,both,0.8999999985098839,0.10000000149011612,0.13370786666666667,20056180.0,798386.0,-0.32988764104308127,685.6184,"{""activation"": ""relu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.374037152651, ""learning_rate"": 0.000638792636, ""new_fc_1"": 21, ""new_fc_10"": 24, ""new_fc_2"": 1, ""new_fc_3"": 23, ""new_fc_4"": 29, ""new_fc_5"": 1, ""new_fc_6"": 20, ""new_fc_7"": 32, ""new_fc_8"": 11, ""new_fc_9"": 21, ""num_neurons"": 8, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 1, ""unit_c2"": 7}"
2,2,both,0.9008999988436699,0.09910000115633011,0.22696477333333334,34044716.0,182858.0,-0.30128056880943105,1069.8403,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.095562114506, ""learning_rate"": 0.000362930184, ""new_fc_1"": 2, ""new_fc_10"": 25, ""new_fc_2"": 6, ""new_fc_3"": 20, ""new_fc_4"": 8, ""new_fc_5"": 17, ""new_fc_6"": 3, ""new_fc_7"": 24, ""new_fc_8"": 13, ""new_fc_9"": 8, ""num_neurons"": 8, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": true, ""unit_c1"": 3, ""unit_c2"": 7}"
3,3,both,0.8999999985098839,0.10000000149011612,0.054809173333333336,8221376.0,64782.0,-0.3535572490430813,1454.1191,"{""activation"": ""swish"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.236871672058, ""learning_rate"": 0.000209834411, ""new_fc_1"": 5, ""new_fc_10"": 7, ""new_fc_2"": 3, ""new_fc_3"": 28, ""new_fc_4"": 17, ""new_fc_5"": 25, ""new_fc_6"": 9, ""new_fc_7"": 13, ""new_fc_8"": 30, ""new_fc_9"": 14, ""num_neurons"": 4, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 4}"
4,4,both,0.505299985408783,0.49470001459121704,0.57867144,86800716.0,879898.0,-0.4726885782138519,1957.7675,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.481750851444, ""learning_rate"": 0.000860080464, ""new_fc_1"": 28, ""new_fc_10"": 23, ""new_fc_2"": 14, ""new_fc_3"": 0, ""new_fc_4"": 24, ""new_fc_5"": 6, ""new_fc_6"": 8, ""new_fc_7"": 23, ""new_fc_8"": 0, ""new_fc_9"": 7, ""num_neurons"": 16, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
5,5,both,0.7689999938011169,0.23100000619888306,0.025350986666666665,3802648.0,77514.0,-0.45409470833921817,2461.3955,"{""activation"": ""selu"", ""batch_size"": 32, ""data_augmentation"": true, ""dr_f"": 0.364330717792, ""learning_rate"": 0.000811157986, ""new_fc_1"": 32, ""new_fc_10"": 4, ""new_fc_2"": 22, ""new_fc_3"": 23, ""new_fc_4"": 21, ""new_fc_5"": 26, ""new_fc_6"": 0, ""new_fc_7"": 13, ""new_fc_8"": 2, ""new_fc_9"": 0, ""num_neurons"": 4, ""optimizer"": ""Adadelta"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 1}"
6,6,both,0.8999999985098839,0.10000000149011612,0.7763196533333333,116447948.0,3850410.0,-0.1371041050430813,2845.4457,"{""activation"": ""relu"", ""batch_size"": 16, ""data_augmentation"": false, ""dr_f"": 0.262083930291, ""learning_rate"": 0.000570459546, ""new_fc_1"": 31, ""new_fc_10"": 21, ""new_fc_2"": 3, ""new_fc_3"": 29, ""new_fc_4"": 22, ""new_fc_5"": 14, ""new_fc_6"": 28, ""new_fc_7"": 12, ""new_fc_8"": 31, ""new_fc_9"": 6, ""num_neurons"": 16, ""optimizer"": ""Adam"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 3, ""unit_c2"": 6}"
7,7,both,10000000000.0,,7.017778746666667,1052666812.0,42625162.0,10000000000.0,2847.309,"{""activation"": ""elu"", ""batch_size"": 16, ""data_augmentation"": true, ""dr_f"": 0.168947832344, ""learning_rate"": 0.000194944834, ""new_fc_1"": 24, ""new_fc_10"": 8, ""new_fc_2"": 32, ""new_fc_3"": 0, ""new_fc_4"": 26, ""new_fc_5"": 12, ""new_fc_6"": 2, ""new_fc_7"": 5, ""new_fc_8"": 7, ""new_fc_9"": 26, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 5}"
8,8,both,0.3544999957084656,0.6455000042915344,0.14763901333333335,22145852.0,1182010.0,-0.7075582990040741,4071.2007,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.156623796885, ""learning_rate"": 0.00031971297, ""new_fc_1"": 11, ""new_fc_10"": 32, ""new_fc_2"": 1, ""new_fc_3"": 2, ""new_fc_4"": 16, ""new_fc_5"": 1, ""new_fc_6"": 1, ""new_fc_7"": 27, ""new_fc_8"": 22, ""new_fc_9"": 31, ""num_neurons"": 16, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 3}"
9,9,both,0.759100005030632,0.24089999496936798,0.8149266933333333,122239004.0,2448810.0,-0.22415198847855758,4575.2183,"{""activation"": ""relu"", ""batch_size"": 32, ""data_augmentation"": false, ""dr_f"": 0.279539254159, ""learning_rate"": 0.000503004848, ""new_fc_1"": 4, ""new_fc_10"": 28, ""new_fc_2"": 5, ""new_fc_3"": 21, ""new_fc_4"": 10, ""new_fc_5"": 15, ""new_fc_6"": 32, ""new_fc_7"": 8, ""new_fc_8"": 5, ""new_fc_9"": 15, ""num_neurons"": 32, ""optimizer"": ""SGD"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 2, ""unit_c2"": 2}"
10,10,both,10000000000.0,,11.28106024,1692159036.0,24121546.0,10000000000.0,4576.3236,"{""activation"": ""relu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.133513292356, ""learning_rate"": 0.000740034579, ""new_fc_1"": 0, ""new_fc_10"": 25, ""new_fc_2"": 10, ""new_fc_3"": 27, ""new_fc_4"": 24, ""new_fc_5"": 22, ""new_fc_6"": 30, ""new_fc_7"": 29, ""new_fc_8"": 6, ""new_fc_9"": 15, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": false, ""skip_connection"": true, ""unit_c1"": 4, ""unit_c2"": 3}"
11,10,flops,,,4.513238586666667,676985788.0,16484170.0,,4578.0068,"{""activation"": ""swish"", ""batch_size"": 8, ""data_augmentation"": false, ""dr_f"": 0.424085958969, ""learning_rate"": 0.000483482328, ""new_fc_1"": 7, ""new_fc_10"": 18, ""new_fc_2"": 0, ""new_fc_3"": 21, ""new_fc_4"": 16, ""new_fc_5"": 6, ""new_fc_6"": 24, ""new_fc_7"": 3, ""new_fc_8"": 5, ""new_fc_9"": 30, ""num_neurons"": 64, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 1, ""unit_c2"": 5}"
12,10,flops,,,0.012821973333333334,1923296.0,27686.0,,4578.9929,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.096768956438, ""learning_rate"": 0.000734316253, ""new_fc_1"": 3, ""new_fc_10"": 3, ""new_fc_2"": 0, ""new_fc_3"": 19, ""new_fc_4"": 13, ""new_fc_5"": 24, ""new_fc_6"": 24, ""new_fc_7"": 2, ""new_fc_8"": 4, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
13,11,accuracy,0.803399994969368,0.19660000503063202,0.012821973333333334,1923296.0,27686.0,-0.43377341152144244,4843.2239,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.096768956438, ""learning_rate"": 0.000734316253, ""new_fc_1"": 3, ""new_fc_10"": 3, ""new_fc_2"": 0, ""new_fc_3"": 19, ""new_fc_4"": 13, ""new_fc_5"": 24, ""new_fc_6"": 24, ""new_fc_7"": 2, ""new_fc_8"": 4, ""new_fc_9"": 25, ""num_neurons"": 4, ""optimizer"": ""SGD"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 2, ""unit_c2"": 1}"
14,11,flops,,,2.2469458933333333,337041884.0,2181098.0,,4844.2835,"{""activation"": ""elu"", ""batch_size"": 64, ""data_augmentation"": true, ""dr_f"": 0.395865352792, ""learning_rate"": 0.000519698814, ""new_fc_1"": 6, ""new_fc_10"": 10, ""new_fc_2"": 23, ""new_fc_3"": 8, ""new_fc_4"": 15, ""new_fc_5"": 1, ""new_fc_6"": 21, ""new_fc_7"": 18, ""new_fc_8"": 20, ""new_fc_9"": 11, ""num_neurons"": 32, ""optimizer"": ""Adagrad"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 1}"
15,11,flops,,,0.30113485333333334,45170228.0,893650.0,,4845.296,"{""activation"": ""selu"", ""batch_size"": 8, ""data_augmentation"": true, ""dr_f"": 0.164102057347, ""learning_rate"": 0.000232439619, ""new_fc_1"": 24, ""new_fc_10"": 24, ""new_fc_2"": 29, ""new_fc_3"": 25, ""new_fc_4"": 2, ""new_fc_5"": 3, ""new_fc_6"": 17, ""new_fc_7"": 10, ""new_fc_8"": 10, ""new_fc_9"": 15, ""num_neurons"": 8, ""optimizer"": ""Adamax"", ""reg_l2"": true, ""skip_connection"": false, ""unit_c1"": 4, ""unit_c2"": 7}"
