group_type,tuner,dataset,seed,runs,mean_progress_evals,mean_progress_fraction,mean_best_score,std_best_score,min_best_score,max_best_score,mean_best_score_event,std_best_score_event,mean_best_score_accuracy,std_best_score_accuracy,mean_best_accuracy,std_best_accuracy,min_best_accuracy,max_best_accuracy,mean_best_score_flops,mean_best_score_params,mean_best_accuracy_flops,mean_best_accuracy_params,mean_invalid_or_penalty_events
tuner,BANANAS,,,10,170.3,0.17029999999999998,-0.6601278338078765,0.13600787045243207,-0.803684533551712,-0.4903901701137161,137.6,20.36445705416943,0.5500500082969666,0.1811332909988619,0.5838400006294251,0.19092000618342858,0.35440000891685486,0.7689999938011169,12453586.0,509243.4,88862162.0,2982258.2,29.0
tuner,FlexiBO,,,10,266.2,0.2662,-0.6548533736199486,0.14623395878055712,-0.7994247784032593,-0.47321961219483943,279.2,195.42875939840584,0.5370000034570694,0.2116938764928881,0.5817799985408783,0.18567622467815378,0.3467999994754791,0.7732999920845032,10523314.4,595593.0,84924877.2,2764303.0,65.1
tuner_dataset_mean_over_seeds,BANANAS,cifar10,,5,175.0,0.175,-0.7875859104999786,0.013816441888031035,-0.803684533551712,-0.7654893010844116,131.8,25.60663976393623,0.7206600069999695,0.016910157690153145,0.76353999376297,0.006578978194937496,0.7533000111579895,0.7689999938011169,8438047.2,233814.0,94326952.8,3259786.0,28.0
tuner_dataset_mean_over_seeds,BANANAS,cifar100,,5,165.6,0.1656,-0.5326697571157745,0.028566055112540713,-0.569510247944107,-0.4903901701137161,143.4,13.903237033151669,0.3794400095939636,0.02766718121663076,0.40414000749588014,0.03521374629106106,0.35440000891685486,0.44920000433921814,16469124.8,784672.8,83397371.2,2704730.4,30.0
tuner_dataset_mean_over_seeds,FlexiBO,cifar10,,5,269.4,0.26940000000000003,-0.79244260157547,0.006385071357402387,-0.7994247784032593,-0.7838785455462799,340.6,147.57980891707373,0.7346400022506714,0.008035728479593397,0.75621999502182,0.011026653094425942,0.7437999844551086,0.7732999920845032,10902700.0,779539.6,98915653.6,3658349.2,64.0
tuner_dataset_mean_over_seeds,FlexiBO,cifar100,,5,263.0,0.263,-0.5172641456644271,0.027332687696155614,-0.5451657674100494,-0.47321961219483943,217.8,233.940590749019,0.3393600046634674,0.055800298254432515,0.40734000205993653,0.03708595306858513,0.3467999994754791,0.43619999289512634,10143928.8,411646.4,70934100.8,1870256.8,66.2
tuner_seed_mean_over_datasets,BANANAS,,7,2,165.5,0.16549999999999998,-0.6279397355990639,0.19452446100790496,-0.7654893010844116,-0.4903901701137161,116.5,23.33452377915607,0.5357500165700912,0.2858832746345768,0.5609499961137772,0.2921057932018767,0.35440000891685486,0.7674999833106995,23542638.0,608491.0,101228570.0,2598463.0,17.5
tuner_seed_mean_over_datasets,BANANAS,,42,2,175.0,0.175,-0.6600420879666213,0.1809323185225373,-0.7879805573297118,-0.5321036186035308,137.0,11.313708498984761,0.5400499999523163,0.2318603082237073,0.574549987912178,0.263114409104082,0.38850000500679016,0.7605999708175659,8996456.0,741937.0,40856018.0,2854567.0,33.0
tuner_seed_mean_over_datasets,BANANAS,,84,2,162.5,0.16249999999999998,-0.6865973907479095,0.16558622533265283,-0.803684533551712,-0.569510247944107,150.0,11.313708498984761,0.5726500153541565,0.23624438125896197,0.5845500081777573,0.23864854286514464,0.415800005197525,0.7533000111579895,7128810.0,297823.0,113135818.0,4543895.0,27.0
tuner_seed_mean_over_datasets,BANANAS,,96,2,173.5,0.1735,-0.6667744583590164,0.1753594131076503,-0.7907722885123291,-0.5427766282057037,148.0,1.4142135623730951,0.549699991941452,0.22415282974282308,0.6082500070333481,0.22493067090551588,0.44920000433921814,0.767300009727478,9007768.0,747737.0,102486394.0,4132823.0,40.0
