tuner,dataset,seed,experiment,progress_evals,events,target_evals,progress_fraction,best_score,best_score_event,best_score_accuracy,best_score_flops,best_score_params,best_accuracy,best_accuracy_event,best_accuracy_flops,best_accuracy_params,invalid_or_penalty_events,history_path
BANANAS,cifar10,7,bananas_cifar10_seed7_e1000_ep100,175,175,1000,0.175,-0.7654893010844116,100,0.7379000186920166,25520356,599826,0.7674999833106995,119,99868556,2392730,19,results_BANANAS_naszilla_controller_cluster/bananas_cifar10_seed7_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar10,42,bananas_cifar10_seed42_e1000_ep100,175,175,1000,0.175,-0.7879805573297118,145,0.7039999961853027,2409720,52078,0.7605999708175659,124,58108892,3798602,34,results_BANANAS_naszilla_controller_cluster/bananas_cifar10_seed42_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar10,84,bananas_cifar10_seed84_e1000_ep100,175,175,1000,0.175,-0.803684533551712,158,0.7397000193595886,7052740,259842,0.7533000111579895,64,123962844,4571114,29,results_BANANAS_naszilla_controller_cluster/bananas_cifar10_seed84_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar10,96,bananas_cifar10_seed96_e1000_ep100,175,175,1000,0.175,-0.7907722885123291,147,0.7081999778747559,2483848,89198,0.767300009727478,66,102484156,4451402,34,results_BANANAS_naszilla_controller_cluster/bananas_cifar10_seed96_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar10,123,bananas_cifar10_seed123_e1000_ep100,175,175,1000,0.175,-0.7900028720217285,109,0.7135000228881836,4723572,168126,0.7689999938011169,66,87210316,1085082,24,results_BANANAS_naszilla_controller_cluster/bananas_cifar10_seed123_e1000_ep100/algorithm_logs/bananas_history.csv
FlexiBO,cifar10,7,flexibo_cifar10_seed7_e1000_ep100,275,516,1000,0.275,-0.7924888835940247,207,0.7240999937057495,7190556,328874,0.7537999749183655,199,82346684,2087386,85,results_FLEXIBO_controller_cluster/flexibo_cifar10_seed7_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar10,42,flexibo_cifar10_seed42_e1000_ep100,275,631,1000,0.275,-0.788749373118576,512,0.7437999844551086,15955308,1566346,0.7437999844551086,512,15955308,1566346,48,results_FLEXIBO_controller_cluster/flexibo_cifar10_seed42_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar10,84,flexibo_cifar10_seed84_e1000_ep100,272,536,1000,0.272,-0.79767142721521,166,0.7307000160217285,6909292,188074,0.7591000199317932,379,138797692,3353514,41,results_FLEXIBO_controller_cluster/flexibo_cifar10_seed84_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar10,96,flexibo_cifar10_seed96_e1000_ep100,250,470,1000,0.25,-0.7994247784032593,414,0.7414000034332275,9777612,885386,0.7732999920845032,73,123426108,2874410,87,results_FLEXIBO_controller_cluster/flexibo_cifar10_seed96_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar10,123,flexibo_cifar10_seed123_e1000_ep100,275,594,1000,0.275,-0.7838785455462799,404,0.7332000136375427,14680732,929018,0.7511000037193298,492,134052476,8410090,59,results_FLEXIBO_controller_cluster/flexibo_cifar10_seed123_e1000_ep100/algorithm_logs/flexibo_history.csv
BANANAS,cifar100,7,bananas_cifar100_seed7_e1000_ep100,156,156,1000,0.156,-0.4903901701137161,133,0.3336000144481659,21564920,617156,0.35440000891685486,141,102588584,2804196,16,results_BANANAS_naszilla_controller_cluster/bananas_cifar100_seed7_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar100,42,bananas_cifar100_seed42_e1000_ep100,175,175,1000,0.175,-0.5321036186035308,129,0.37610000371932983,15583192,1431796,0.38850000500679016,171,23603144,1910532,32,results_BANANAS_naszilla_controller_cluster/bananas_cifar100_seed42_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar100,84,bananas_cifar100_seed84_e1000_ep100,150,150,1000,0.15,-0.569510247944107,142,0.40560001134872437,7204880,335804,0.415800005197525,123,102308792,4516676,25,results_BANANAS_naszilla_controller_cluster/bananas_cifar100_seed84_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar100,96,bananas_cifar100_seed96_e1000_ep100,172,172,1000,0.172,-0.5427766282057037,149,0.3912000060081482,15531688,1406276,0.44920000433921814,87,102488632,3814244,46,results_BANANAS_naszilla_controller_cluster/bananas_cifar100_seed96_e1000_ep100/algorithm_logs/bananas_history.csv
BANANAS,cifar100,123,bananas_cifar100_seed123_e1000_ep100,175,175,1000,0.175,-0.5285681207118149,164,0.39070001244544983,22460944,132332,0.41280001401901245,125,85997704,478004,31,results_BANANAS_naszilla_controller_cluster/bananas_cifar100_seed123_e1000_ep100/algorithm_logs/bananas_history.csv
FlexiBO,cifar100,7,flexibo_cifar100_seed7_e1000_ep100,260,460,1000,0.26,-0.5200176311655349,44,0.4074999988079071,32616184,1235876,0.4291999936103821,406,87017368,988228,72,results_FLEXIBO_controller_cluster/flexibo_cifar100_seed7_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar100,42,flexibo_cifar100_seed42_e1000_ep100,275,568,1000,0.275,-0.5146674166784363,525,0.3370000123977661,10616296,272692,0.3467999994754791,438,23997864,2108132,48,results_FLEXIBO_controller_cluster/flexibo_cifar100_seed42_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar100,84,flexibo_cifar100_seed84_e1000_ep100,250,484,1000,0.25,-0.47321961219483943,58,0.2531999945640564,2010192,71100,0.3968000113964081,187,88167384,894292,58,results_FLEXIBO_controller_cluster/flexibo_cifar100_seed84_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar100,96,flexibo_cifar100_seed96_e1000_ep100,255,499,1000,0.255,-0.5451657674100494,46,0.3589000105857849,3032120,375292,0.427700012922287,188,103102088,4134932,68,results_FLEXIBO_controller_cluster/flexibo_cifar100_seed96_e1000_ep100/algorithm_logs/flexibo_history.csv
FlexiBO,cifar100,123,flexibo_cifar100_seed123_e1000_ep100,275,530,1000,0.275,-0.5332503008732757,416,0.3402000069618225,2444852,103272,0.43619999289512634,138,52385800,1225700,85,results_FLEXIBO_controller_cluster/flexibo_cifar100_seed123_e1000_ep100/algorithm_logs/flexibo_history.csv
